Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.08      0.08     0.08   249999     0.00     0.00  RK4::vectorAdd(std::vector<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> > const&)
  7.07      0.15     0.07 18502718     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  6.06      0.21     0.06   999996     0.00     0.00  DoublePendEquations::lowerOmegaPrime(double)
  6.06      0.27     0.06   999996     0.00     0.00  RK4::stateAdjust(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double)
  5.05      0.32     0.05  3750005     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  5.05      0.37     0.05  3499990     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  4.04      0.41     0.04 11999952     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  4.04      0.45     0.04  3750005     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  4.04      0.49     0.04  1999996     0.00     0.00  void std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  4.04      0.53     0.04   999996     0.00     0.00  DoublePendEquations::upperOmegaPrime(double)
  3.03      0.56     0.03  7249995     0.00     0.00  std::allocator<double>::~allocator()
  3.03      0.59     0.03  2250167     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  3.03      0.62     0.03  2250009     0.00     0.00  std::allocator<double>::allocator()
  3.03      0.65     0.03  1249995     0.00     0.00  std::vector<double, std::allocator<double> >::_M_move_assign(std::vector<double, std::allocator<double> >&&, std::integral_constant<bool, true>)
  2.02      0.67     0.02  9999960     0.00     0.00  std::vector<double, std::allocator<double> >::_M_range_check(unsigned long) const
  2.02      0.69     0.02  4999986     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  2.02      0.71     0.02  2249995     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  2.02      0.73     0.02  1999992     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::size() const
  1.52      0.75     0.02  3749994     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  1.01      0.76     0.01 24749901     0.00     0.00  std::remove_reference<double*&>::type&& std::move<double*&>(double*&)
  1.01      0.77     0.01  9999960     0.00     0.00  std::vector<double, std::allocator<double> >::at(unsigned long)
  1.01      0.78     0.01  8249967     0.00     0.00  void std::swap<double*>(double*&, double*&)
  1.01      0.79     0.01  6249975     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::operator[](unsigned long) const
  1.01      0.80     0.01  4999986     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  1.01      0.81     0.01  3750061     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  1.01      0.82     0.01  3750061     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  1.01      0.83     0.01  2749989     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_M_swap_data(std::_Vector_base<double, std::allocator<double> >::_Vector_impl&)
  1.01      0.84     0.01  2250009     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  1.01      0.85     0.01  2249993     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  1.01      0.86     0.01  1249998     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  1.01      0.87     0.01  1249998     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  1.01      0.88     0.01  1249995     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::get_allocator() const
  1.01      0.89     0.01  1249995     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::allocator<double> const&)
